,title,price,volume
0,KODEX 200선물인버스2X,"2,695","120,111,782"
1,KODEX 코스닥150선물인버스,"3,955","57,282,234"
2,KODEX 코스닥150레버리지,"9,455","38,374,903"
3,KODEX 레버리지,"15,490","14,551,517"
4,KODEX 인버스,"4,700","13,520,092"
5,KODEX 코스닥150,"12,635","12,047,529"
6,영풍제지,"3,380","11,895,944"
7,STX,"12,720","11,024,133"
8,경보제약,"9,040","10,736,020"
9,한국무브넥스,"6,700","10,371,709"
10,삼성전자,"70,800","9,540,162"
11,현대비앤지스틸,"15,400","9,500,267"
12,KC코트렐,"1,515","8,669,992"
13,TIGER 미국S&P500선물(H),"49,855","8,591,021"
14,대유에이텍,420,"8,542,408"
15,KODEX 2차전지산업레버리지,"4,985","7,944,799"
16,TIGER 2차전지소재Fn,"8,105","7,198,849"
17,경농,"13,250","7,097,043"
18,대유플러스,408,"6,537,872"
19,참엔지니어링,455,"6,362,296"
20,한국ANKOR유전,390,"5,570,895"
21,KC그린홀딩스,"3,670","5,490,665"
22,KIB플러그에너지,905,"5,266,144"
23,KBSTAR 2차전지TOP10인버스(합성),"23,220","4,673,092"
24,팬오션,"4,215","4,341,895"
25,삼성 인버스 2X 코스닥150 선물 ETN,"8,260","4,189,134"
26,동양철관,767,"4,123,340"
27,TIGER 차이나전기차SOLACTIVE,"8,350","4,075,933"
28,미래에셋 인버스 2X 코스닥150 선물 ETN,"8,265","3,400,693"
29,KODEX 200,"32,785","2,851,074"
30,코아스,692,"2,850,030"
31,KODEX 2차전지산업,"22,040","2,841,763"
32,LS전선아시아,"11,320","2,774,492"
33,TIGER Fn반도체TOP10,"9,655","2,702,187"
34,HANARO Fn K-POP&미디어,"8,450","2,680,970"
35,GS글로벌,"2,565","2,633,481"
36,삼성중공업,"7,170","2,606,781"
37,웰바이오텍,"1,420","2,586,948"
38,SK하이닉스,"130,000","2,564,886"
39,아시아나IDT,"16,050","2,522,841"
40,SOL 반도체소부장Fn,"12,325","2,495,326"
41,HANARO CAPEX설비투자iSelect,"9,450","2,444,823"
42,HANARO Fn조선해운,"9,245","2,311,644"
43,하이트진로,"23,250","2,266,608"
44,한미반도체,"59,500","2,245,156"
45,대양금속,"1,247","2,211,783"
46,에이프로젠바이오로직스,305,"2,179,003"
47,삼부토건,"2,525","2,171,182"
48,다올투자증권,"4,200","2,165,246"
49,한국전력,"17,400","2,077,893"
50,국제약품,"5,130","1,974,340"
51,체시스,"1,909","1,934,321"
52,에이프로젠,893,"1,804,179"
53,두산에너빌리티,"14,210","1,799,059"
54,KODEX 아시아반도체공급망exChina액티브,"13,290","1,771,519"
55,TIGER 차이나항셍테크,"5,805","1,734,255"
56,카카오,"46,350","1,711,150"
57,화천기계,"4,430","1,701,313"
58,HMM,"15,630","1,696,155"
59,TIGER 글로벌혁신블루칩TOP10,"10,215","1,690,896"
60,대호에이엘,"1,198","1,685,869"
61,우리금융지주,"12,540","1,581,329"
62,백산,"9,380","1,551,259"
63,대성에너지,"8,490","1,547,723"
64,삼성 레버리지 WTI원유 선물 ETN,"1,450","1,522,629"
65,삼성 인버스 2X WTI원유 선물 ETN,105,"1,467,788"
66,이수페타시스,"26,900","1,466,047"
67,윌비스,798,"1,459,926"
68,SH에너지화학,678,"1,458,575"
69,한화투자증권,"2,840","1,441,226"
70,우신시스템,"9,390","1,434,406"
71,에이엔피,"1,589","1,432,504"
72,TIGER 200선물인버스2X,"2,850","1,418,676"
73,일진전기,"11,930","1,396,937"
74,포스코인터내셔널,"59,500","1,390,612"
75,KODEX 2차전지핵심소재10 Fn,"8,450","1,344,691"
76,TIGER 미국테크TOP10 INDXX,"14,580","1,323,494"
77,TIMEFOLIO 글로벌AI인공지능액티브,"13,360","1,295,686"
78,STX그린로지스,"11,700","1,270,577"
79,포스코퓨처엠,"295,500","1,255,780"
80,KBSTAR 2차전지TOP10,"15,330","1,249,234"
81,에어부산,"2,870","1,246,295"
82,성안,"1,761","1,210,471"
83,TIGER 2차전지테마,"25,420","1,210,034"
84,TRUE 인버스 2X 코스닥 150 선물 ETN,"8,280","1,154,702"
85,KODEX 바이오,"7,445","1,145,915"
86,솔루엠,"26,550","1,143,571"
87,TIMEFOLIO K바이오액티브,"8,020","1,135,142"
88,TIGER 200 에너지화학,"13,265","1,134,671"
89,한화생명,"2,830","1,114,908"
90,SOL 2차전지소부장Fn,"7,735","1,113,120"
91,KODEX K-로봇액티브,"13,255","1,072,206"
92,TRUE 인버스 2X 나스닥 100 ETN,"1,240","1,070,058"
93,대우건설,"4,230","1,066,207"
94,HD현대인프라코어,"7,230","1,058,706"
95,롯데손해보험,"2,575","1,057,707"
96,두산로보틱스,"43,400","1,039,412"
97,기아,"78,200","1,028,453"
98,KODEX 미국S&P500선물(H),"20,535","1,006,420"
99,신성이엔지,"1,899","1,004,020"
